input_text,target_text
"<img src='cat.jpg'>","<img src='cat.jpg' alt='Gato'>"
"<button>Click me</button>","<button type='button'>Click me</button>"
"<div (click)='submit()'>Enviar</div>","<button type='button' (click)='submit()'>Enviar</button>"
"<input type='text'>","<input type='text' aria-label='Input text'>"
"<a href='#'>Read more</a>","<a href='#' aria-label='Read more about this topic'>Read more</a>"
"<span onclick='next()'>Next</span>","<button type='button' onclick='next()'>Next</button>"
"<img src='logo.png' />","<img src='logo.png' alt='Company Logo' />"
"<form></form>","<form aria-label='Contact form'></form>"
"<div role='button'>Save</div>","<button type='button'>Save</button>"
"<i class='fa fa-icon' onclick='toggle()'></i>","<button type='button' aria-label='Toggle' onclick='toggle()'><i class='fa fa-icon'></i></button>"
"<img src='banner.jpg'>","<img src='banner.jpg' alt='Oferta especial de verano'>"
"<img src='icon.png'>","<img src='icon.png' alt='' aria-hidden='true'>"
"<input type='email'>","<input type='email' autocomplete='email' aria-label='Correo electrónico'>"
"<input type='password'>","<input type='password' autocomplete='current-password' aria-label='Contraseña'>"
"<a href='#' onclick='openModal()'>Info</a>","<button type='button' onclick='openModal()'>Info</button>"
"<div class='btn' (click)='login()'>Entrar</div>","<button type='button' class='btn' (click)='login()'>Entrar</button>"
"<span class='close' (click)='close()'>X</span>","<button type='button' class='close' aria-label='Cerrar' (click)='close()'>X</button>"
"<video src='movie.mp4'></video>","<video src='movie.mp4'><track kind='captions' src='subs.vtt' label='Español'></video>"
"<audio src='podcast.mp3'></audio>","<audio src='podcast.mp3'></audio><a href='transcript.html'>Ver transcripción</a>"
"<div tabindex='1'>Focus me</div>","<div tabindex='0'>Focus me</div>"
"<a href='javascript:void(0)'>Click</a>","<button type='button'>Click</button>"
"<img src='chart.png'>","<img src='chart.png' alt='Gráfico de ventas del primer trimestre'>"
"<input type='search'>","<input type='search' aria-label='Buscar en el sitio'>"
"<button></button>","<button type='button' aria-label='Botón sin texto'></button>"
"<div role='checkbox' (click)='toggle()'>Opción</div>","<button role='checkbox' aria-checked='false' (click)='toggle()'>Opción</button>"
"<section><h2>Titulo</h2></section>","<section><h2>Titulo</h2></section>"
"<b (click)='sort()'>Ordenar</b>","<button type='button' (click)='sort()'>Ordenar</button>"
"<img src='spacer.gif'>","<img src='spacer.gif' alt='' role='presentation'>"
"<input type='tel'>","<input type='tel' autocomplete='tel' aria-label='Teléfono'>"
"<form action='/login'></form>","<form action='/login' aria-label='Formulario de inicio de sesión'></form>"
"<div onclick='menu()'>Menú</div>","<button type='button' onclick='menu()'>Menú</button>"
"<a href='#'>Más</a>","<a href='#' aria-label='Leer más sobre este artículo'>Más</a>"
"<img src='user.jpg'>","<img src='user.jpg' alt='Foto de perfil del usuario'>"
"<button class='icon-only'><i class='fa fa-save'></i></button>","<button class='icon-only' aria-label='Guardar'><i class='fa fa-save'></i></button>"
"<div (click)='nextStep()'>Siguiente ></div>","<button type='button' (click)='nextStep()'>Siguiente ></button>"
"<input type='checkbox'>","<input type='checkbox' aria-label='Acepto los términos'>"
"<select></select>","<select aria-label='Selecciona una opción'></select>"
"<textarea></textarea>","<textarea aria-label='Escribe tu mensaje aquí'></textarea>"
